TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-047456-01-e.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/16/2019,,,,,,,,,,,,,,,,,,,
DESIGN: 02_047456e_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_047456e\worklib\02_047456e_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
43,1,E027951,"HIGH PRECISION,BIO-IMPERDAMCE AMD ELECTROCHEMICAL FRONT END PRELIM", AD5941BCPZ,QFN48_7X7_PAD5_1X5_1,N/A,N/A,?,U1,ANALOG DEVICES, AD5941BCPZ-RL7,RWC,N/A,N/A,N/A,N/A,N/A,?,?
44,1,E011813,IC CMOS DUAL SPDT SWITCH, ADG636YRUZ,TSSOP14,N/A,N/A,?,U2,ADI, ADG636YRUZ,REL,N/A,N/A,N/A,N/A,1003399,?,?
45,1,E022406,"IC-ADI 600MA, ULTRALOW NOISE, HIGH PSRR, RF LINEAR REG, 1.2 TO 3.4 VOUT", ADM7155ARDZ-04,SO8NB-PAD2_3X2_3,N/A,N/A,?,U3,ANALOG DEVICES, ADM7155ARDZ-04-R7,REL,N/A,N/A,N/A,N/A,N/A,?,?
47,1,E029612,IC CRYSTAL ULTRA MINIATURE CERAMIC SMD, 16MEGHZ,YSML126W98H31,10PPM,N/A,N/A,Y1,ABRACON CORP., ABM8-16.000MHZ-7-1-U-T,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
Callouts File:C:\tmp\20_047456e\worklib\02_047456e_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
Mechanical Parts,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
2,1,M029337,"JUMPER OPEN TOP, 2.54MM CONTACT CENTER, BLACK", ?,N/A,?,?,?,?,SULLINS, QPC02SXGN-RC,REL,N/A,N/A,N/A,N/A,N/A,?,?
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The following components are part of the PCB or are NOT to be installed,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
13,4,E021002,"CONN-PCB HDR JMPR, 1X M000385", 22-03-2031,CNHDR1X3H530,N/A,N/A,N/A,"JP1,JP2,JP8,JP9",MOLEX, 22-03-2031,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
19,1,E017614,CONN-PCB HDR 2.54MM PITCH SIL VERT PC TAIL, M20-9990345,CNHDR1X3H340,N/A,N/A,N/A,P4,HARWIN, M20-9990345,REL,N/A,N/A,N/A,N/A,6002138,?,DNI
38,2,E004207,RES FILM SMD 0603,0,R0603,1,N/A,1/16W,"R35,R37",MULTICOMP (SPC), MC0603WG00000T5E-TC,REL,A003-0032-130,N/A,772-227,N/A,N/A,?,DNI
46,1,E020447,IC-ADI 4-CH MULTIPLEXER, ADG1609BCPZ,QFN16_3X3_PAD1_6X1_6,N/A,N/A,?,U4,ANALOG DEVICES, ADG1609BCPZ-REEL7,REL,N/A,N/A,N/A,N/A,N/A,?,DNI
